"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_BOOSTER_FILL_GOLD_STORAGE","Rune of Gold","تميمة الذهب","金币符石","金幣符石","Rune des Golds","Runa de oro","کتیبه طلا","Kullan riimukivi","Rune d'or","Rune Emas","Runa d'oro","ゴールドのルーン","골드 룬","Rune Emas","Goudrune","Rune av gull","Runa złota","Runa de ouro","Руна золота","รูนทองคำ","Altın Rünü","Đá cổ ngữ Vàng"
"TID_BOOSTER_FILL_ELIXIR_STORAGE","Rune of Elixir","تميمة الإكسير","圣水符石","聖水符石","Rune des Elixiers","Runa de elixir","کتیبه اکسیر","Eliksiirin riimukivi","Rune d'élixir","Rune Eliksir","Runa d'elisir","エリクサーのルーン","엘릭서 룬","Rune Eliksir","Elixirrune","Rune av eliksir","Runa eliksiru","Runa de elixir","Руна эликсира","รูนน้ำอมฤต","İksir Rünü","Đá cổ ngữ Tiên dược"
,,,,,,,,,,,,,,,,,,,,,,
"TID_BOOSTER_FINISH_ANY_UPGRADE","Book of Everything","كتاب كل شيء","万能之书","萬能之書","Universalbuch","Libro universal","کتاب همه‌چیز","Kaiken tiedon kirja","Livre universel","Kitab Segalanya","Libro onnisciente","森羅万象の本","궁극의 책","Buku tentang Segalanya","Allesboek","Bok med alt","Księga wszystkiego","Livro Universal","Книга всего","ตำราสรรพสิ่ง","Her Şeyin Kitabı","Vạn vật Thư"
"TID_BOOSTER_FINISH_SPELL_UPGRADE","Book of Spells","كتاب التعويذات","法术之书","法術之書","Buch der Zauber","Libro de hechizos","کتاب طلسم‌ها","Loitsujen kirja","Livre des sorts","Kitab Mantra","Libro di incantesimi","呪文の本","마법의 책","Buku Sihir","Spreukenboek","Formelbok","Księga zaklęć","Livro dos Feitiços","Книга заклинаний","ตำราอาคม","Büyü Kitabı","Thần chú Thư"
"TID_BOOSTER_FINISH_HERO_UPGRADE","Book of Heroes","كتاب الأبطال","英雄之书","英雄之書","Buch der Helden","Libro de héroes","کتاب قهرمان‌ها","Sankareiden kirja","Livre des héros","Kitab Pahlawan","Libro degli eroi","ヒーローの本","영웅의 책","Buku Wira-wira","Heldenboek","Heltebok","Księga herosów","Livro dos Heróis","Книга героев","ตำราผู้กล้า","Kahramanlar Kitabı","Tướng Thư"
"TID_BOOSTER_MAX_LEVEL_ARMY","Power Potion","جرعة القوة","力量药水","力量藥水","Machttrank","Pócima de fuerza","معجون قدرت","Voimarohto","Potion de puissance","Ramuan Kuat","Pozione di forza","パワーポーション","힘의 포션","Posyen Kuasa","Krachtdrankje","Kraftdrikk","Mikstura mocy","Poção do Poder","Зелье силы","น้ำยาพลัง","Güç İksiri","Thuốc Sức mạnh"
"TID_BOOSTER_FINISH_TROOP_UPGRADE","Book of Fighting","كتاب القتال","战斗之书","戰鬥之書","Buch des Kampfes","Libro de lucha","کتاب مبارزه","Taisteluiden kirja","Livre de combat","Kitab Tempur","Libro della guerra","戦いの本","유닛의 책","Buku Laga","Vechtboek","Stridsbok","Księga walki","Livro da Luta","Книга сражений","ตำราการต่อสู้","Savaş Kitabı","Binh Thư"
"TID_BOOSTER_FINISH_BUILDING_UPGRADE","Book of Building","كتاب المباني","建筑之书","建築之書","Buch des Bauens","Libro de construcción","کتاب ساختمان","Rakentamisen kirja","Livre des bâtiments","Kitab Konstruksi","Libro degli edifici","建物の本","건물의 책","Buku Bangunan","Gebouwenboek","Byggebok","Księga struktur","Livro das Construções","Книга строительства","ตำราสิ่งก่อสร้าง","İnşaat Kitabı","Công trình Thư"
"TID_BOOSTER_BOOST_RESOURCES","Resource Potion","جرعة الموارد","资源药水","資源藥水","Ressourcentrank","Pócima de recursos","معجون منبع","Resurssirohto","Potion de ressources","Ramuan Sumber Daya","Pozione di risorse","資源ポーション","자원 포션","Posyen Sumber","Grondstoffendrankje","Ressursdrikk","Mikstura zasobów","Poção de Recursos","Зелье ресурсов","น้ำยาทรัพยากร","Kaynak İksiri","Thuốc Tài nguyên"
,,,,,,,,,,,,,,,,,,,,,,
"TID_BOOSTER_MOVE_OBSTACLE","Shovel of Obstacles","مجرفة العوائق","移位任意铲","移位任意鏟","Hindernisschaufel","Pala para obstáculos","بیل موانع","Estelapio","Pelle à obstacles","Sekop Penghalang","Vanga per ostacoli","障害物のシャベル","장애물 삽","Penyodok Halangan","Obstakelschuiver","Hinderspade","Łopata przeszkód","Pá de obstáculos","Лопата для препятствий","พลั่วแห่งสิ่งกีดขวาง","Engel Küreği","Xẻng Chướng ngại vật"
,,,,,,,,,,,,,,,,,,,,,,
"TID_BOOSTER_WALL_UPGRADE_ALT_2_LINE_5","5 Wall Rings","5 خواتم جدران","5个壁垒之戒","5個壁壘之戒","5 Mauerringe","5 anillos de muros","5 حلقه دیوار","5 muurisormusta","5x Anneau des remparts","5 Cincin Tembok","5 anelli da mura","壁リング x5","장벽 링 5개","5 Cincin Tembok","5 murenringen","5 murringer","5 Pierścień muru","5 Anéis de Muro","5 колец стены","แหวนกำแพง 5 วง","5 Duvar Yüzüğü","5 Nhẫn Tường thành"
"TID_BOOSTER_BUILDERS_ALT_2_LINE","Builder Potion","جرعة البنّاء","建筑工人药水","建築工人藥水","Bauarbeiter-\ntrank","Pócima del constructor","معجون سازنده","Rakentajan rohto","Potion de l'ouvrier","Ramuan Tukang","Pozione del costruttore","大工ポーション","장인 포션","Posyen Pembina","Bouwvakkers-\ndrankje","Byggerens drikk","Mikstura Budowniczego","Poção do Construtor","Зелье строителя","น้ำยาช่างก่อสร้าง","İnşaatçı İksiri","Thuốc Thợ xây"
,,,,,,,,,,,,,,,,,,,,,,
"TID_BOOSTER_HERO_POTION","Hero Potion","جرعة البطل","英雄药水","英雄藥水","Heldentrank","Pócima heroica","معجون قهرمان","Sankarin rohto","Potion de héros","Ramuan Pahlawan","Pozione degli eroi","ヒーローポーション","영웅 포션","Posyen Wira","Heldendrankje","Heltedrikk","Mikstura herosów","Poção de herói","Зелье героя","น้ำยาผู้กล้า","Kahraman İksiri","Thuốc Tướng"
"TID_BOOSTER_SUPER_POTION_ALT_2_LINE","Super Potion","الجرعة الخارقة","超级药水","超級藥水","Supertrank","Superpócima","اَبَر معجون","Superrohto","Super potion","Ramuan Super","Superpozione","スーパーポーション","슈퍼 포션","Posyen Super","Superdrankje","Superdrikk","Supermikstura","Superpoção","Суперзелье","ซูเปอร์น้ำยา","Süper İksir","Thuốc Siêu cấp"
"TID_BOOSTER_PET_POTION_ALT_2_LINE","Pet Potion","جرعة الحيوان الأليف","战宠药水","戰寵藥水","Begleitertrank","Pócima de animales","معجون حیوان خانگی","Lemmikkirohto","Potion de familiers","Ramuan Hewan","Pozione dei famigli","ペットポーション","펫 포션","Posyen Haiwan Peliharaan","Dierendrankje","Dyredrikk","Mikstura zwierząt","Poção do animal","Зелье компаньона","น้ำยาสัตว์เลี้ยง","Dost Hayvan İksiri","Thuốc Linh thú"
,,,,,,,,,,,,,,,,,,,,,,
"TID_BOOSTER_LAB_POTION","Research Potion","جرعة الأبحاث","研究药水","研究藥水","Forschungstrank","Pócima de investigación","معجون پژوهش","Tutkimusrohto","Potion de recherche","Ramuan Riset","Pozione di ricerca","研究ポーション","연구 포션","Posyen Penyelidikan","Onderzoeksdrankje","Forskningsdrikk","Mikstura badań","Poção de pesquisa","Зелье изучения","น้ำยาวิจัย","Araştırma İksiri","Thuốc Nghiên cứu"
